cluster_id,title,source,published,url,path,filename
1,Trump Ends Trade Talks with Canada over 'Fraudulent' anti-Tariff TV Ads,Breitbart,2025-10-24T10:28:00+00:00,https://www.breitbart.com/politics/2025/10/24/trump-ends-trade-talks-with-canada-over-fraudulent-anti-tariff-tv-ads/,/Users/maahirpaliwal/Desktop/github_repos/livenews-clean/apps/fastapi/data/scraped_articles/Breitbart/Breitbart_2025-10-24_13-15-33_Trump_Ends_Trade_Talks_with_Canada_over_'Fraudulent'_anti-Tariff_TV_Ads.md,Breitbart_2025-10-24_13-15-33_Trump_Ends_Trade_Talks_with_Canada_over_'Fraudulent'_anti-Tariff_TV_Ads.md
1,US and Canada spar over ad of Reagan denouncing tariffs that led to derailed trade talks,The Guardian,2025-10-24T16:33:53+00:00,https://www.theguardian.com/us-news/2025/oct/24/trump-canada-trade-negotations-ontario-tariffs,/Users/maahirpaliwal/Desktop/github_repos/livenews-clean/apps/fastapi/data/scraped_articles/The Guardian/The Guardian_2025-10-24_13-14-53_US_and_Canada_spar_over_ad_of_Reagan_denouncing_tariffs_that_led_to_derailed_tra.md,The Guardian_2025-10-24_13-14-53_US_and_Canada_spar_over_ad_of_Reagan_denouncing_tariffs_that_led_to_derailed_tra.md
1,Trump says all Canada trade talks ‘terminated’ over ad criticising tariffs,The Guardian,2025-10-24T03:34:11+00:00,https://www.theguardian.com/world/2025/oct/24/trump-says-all-canada-trade-talks-terminated-over-ad-criticising-tariffs,/Users/maahirpaliwal/Desktop/github_repos/livenews-clean/apps/fastapi/data/scraped_articles/The Guardian/The Guardian_2025-10-24_13-14-53_Trump_says_all_Canada_trade_talks_‘terminated’_over_ad_criticising_tariffs.md,The Guardian_2025-10-24_13-14-53_Trump_says_all_Canada_trade_talks_‘terminated’_over_ad_criticising_tariffs.md
1,Trump ends trade negotiations with Canada in a social media post after TV ads with Ronald Reagan,PBS,2025-10-24T10:41:38-04:00,https://www.pbs.org/newshour/world/trump-ends-trade-negotiations-with-canada-in-a-social-media-post-after-tv-ads-with-ronald-reagan,/Users/maahirpaliwal/Desktop/github_repos/livenews-clean/apps/fastapi/data/scraped_articles/PBS/PBS_2025-10-24_13-14-49_Trump_ends_trade_negotiations_with_Canada_in_a_social_media_post_after_TV_ads_wi.md,PBS_2025-10-24_13-14-49_Trump_ends_trade_negotiations_with_Canada_in_a_social_media_post_after_TV_ads_wi.md
2,New York Attorney General Letitia James enters plea in federal mortgage fraud case,Fox_News,2025-10-24T11:09:16-04:00,https://www.foxnews.com/politics/new-york-attorney-general-letitia-james-enters-plea-federal-mortgage-fraud-case,/Users/maahirpaliwal/Desktop/github_repos/livenews-clean/apps/fastapi/data/scraped_articles/Fox_News/Fox_News_2025-10-24_13-15-39_New_York_Attorney_General_Letitia_James_enters_plea_in_federal_mortgage_fraud_ca.md,Fox_News_2025-10-24_13-15-39_New_York_Attorney_General_Letitia_James_enters_plea_in_federal_mortgage_fraud_ca.md
2,Letitia James pleads not guilty in Virginia mortgage fraud case,The Guardian,2025-10-24T15:21:54+00:00,https://www.theguardian.com/us-news/2025/oct/24/letitia-james-mortgage-case-hearing,/Users/maahirpaliwal/Desktop/github_repos/livenews-clean/apps/fastapi/data/scraped_articles/The Guardian/The Guardian_2025-10-24_13-14-54_Letitia_James_pleads_not_guilty_in_Virginia_mortgage_fraud_case.md,The Guardian_2025-10-24_13-14-54_Letitia_James_pleads_not_guilty_in_Virginia_mortgage_fraud_case.md
2,New York Attorney General Letitia James will make her first court appearance in mortgage fraud case,PBS,2025-10-24T10:29:49-04:00,https://www.pbs.org/newshour/politics/new-york-attorney-general-letitia-james-will-make-her-first-court-appearance-in-mortgage-fraud-case,/Users/maahirpaliwal/Desktop/github_repos/livenews-clean/apps/fastapi/data/scraped_articles/PBS/PBS_2025-10-24_13-14-49_New_York_Attorney_General_Letitia_James_will_make_her_first_court_appearance_in_.md,PBS_2025-10-24_13-14-49_New_York_Attorney_General_Letitia_James_will_make_her_first_court_appearance_in_.md
3,"Who are Chauncey Billups, Terry Rozier and Damon Jones? NBA subjects arrested in illegal gambling probe",Fox_News,2025-10-24T10:49:32-04:00,https://www.foxnews.com/sports/who-are-chauncey-billups-terry-rozier-damon-jones-nba-subjects-arrested-illegal-gambling,"/Users/maahirpaliwal/Desktop/github_repos/livenews-clean/apps/fastapi/data/scraped_articles/Fox_News/Fox_News_2025-10-24_13-15-39_Who_are_Chauncey_Billups,_Terry_Rozier_and_Damon_Jones__NBA_subjects_arrested_in.md","Fox_News_2025-10-24_13-15-39_Who_are_Chauncey_Billups,_Terry_Rozier_and_Damon_Jones__NBA_subjects_arrested_in.md"
3,Alleged mob ties in NBA scandal recall La Cosa Nostra’s long shadow over sports,Fox_News,2025-10-24T11:29:20-04:00,https://www.foxnews.com/sports/alleged-mob-ties-nba-scandal-recall-la-cosa-nostras-long-shadow-over-sports,/Users/maahirpaliwal/Desktop/github_repos/livenews-clean/apps/fastapi/data/scraped_articles/Fox_News/Fox_News_2025-10-24_13-15-38_Alleged_mob_ties_in_NBA_scandal_recall_La_Cosa_Nostra’s_long_shadow_over_sports.md,Fox_News_2025-10-24_13-15-38_Alleged_mob_ties_in_NBA_scandal_recall_La_Cosa_Nostra’s_long_shadow_over_sports.md
3,WATCH: Kash Patel Reveals Details of Massive 'Sports Rigging' Op Rocking the NBA,Breitbart,2025-10-23T16:39:21+00:00,https://www.breitbart.com/sports/2025/10/23/watch-kash-patel-reveals-details-of-massive-sports-rigging-op-rocking-the-nba/,/Users/maahirpaliwal/Desktop/github_repos/livenews-clean/apps/fastapi/data/scraped_articles/Breitbart/Breitbart_2025-10-24_13-15-35_WATCH__Kash_Patel_Reveals_Details_of_Massive_'Sports_Rigging'_Op_Rocking_the_NBA.md,Breitbart_2025-10-24_13-15-35_WATCH__Kash_Patel_Reveals_Details_of_Massive_'Sports_Rigging'_Op_Rocking_the_NBA.md
